"X","Y","name"
-60.7784334,-32.913649,"Intersection 529"
-60.7784266,-32.9537279,"Intersection 530"
-60.7784191,-33.0025835,"Intersection 531"
-60.778418,-32.91974,"Intersection 532"
-60.7783853,-32.9215277,"Intersection 533"
-60.7783846,-32.9158536,"Intersection 534"
-60.7783761,-32.9455759,"Intersection 535"
-60.778372,-32.9657655,"Intersection 536"
-60.7783633,-32.9184964,"Intersection 537"
-60.778361,-32.9186317,"Intersection 538"
-60.7783606,-32.9186553,"Intersection 539"
-60.7783602,-32.9186767,"Intersection 540"
-60.7783601,-32.8964685,"Intersection 541"
-60.7783573,-32.9188462,"Intersection 542"
-60.7783562,-32.9213698,"Intersection 543"
-60.7783544,-32.9190127,"Intersection 544"
-60.778345,-32.9192853,"Intersection 545"
-60.7783394,-32.9193193,"Intersection 546"
-60.778326,-32.9212054,"Intersection 547"
-60.7783117,-32.9157022,"Intersection 548"
-60.7783028,-32.945655,"Intersection 549"
-60.7782957,-32.9133377,"Intersection 550"
-60.7782914,-32.9901263,"Intersection 551"
-60.7782857,-32.9186543,"Intersection 552"
-60.7782761,-32.996457,"Intersection 553"
-60.7782726,-32.9460286,"Intersection 554"
-60.7782705,-32.9237466,"Intersection 555"
-60.7782354,-32.9224708,"Intersection 556"
-60.7782346,-32.9196517,"Intersection 557"
-60.7782238,-32.9996855,"Intersection 558"
-60.7782233,-32.9057175,"Intersection 559"
-60.7782086,-32.9186541,"Intersection 560"
-60.7781965,-32.9197082,"Intersection 561"
-60.7781959,-32.919633,"Intersection 562"
-60.7781959,-32.9193025,"Intersection 563"
-60.7781958,-32.9191259,"Intersection 564"
-60.7781957,-32.9234027,"Intersection 565"
-60.7781957,-32.9196032,"Intersection 566"
-60.7781957,-32.9190136,"Intersection 567"
-60.7781915,-32.9200111,"Intersection 568"
-60.7781818,-32.9279216,"Intersection 569"
-60.7781759,-32.9191259,"Intersection 570"
-60.778175,-32.9086516,"Intersection 571"
-60.7781623,-32.9181339,"Intersection 572"
-60.778156,-32.9130215,"Intersection 573"
-60.7781374,-32.9186538,"Intersection 574"
-60.7781187,-32.9779177,"Intersection 575"
-60.7780986,-32.904623,"Intersection 576"
-60.7780941,-32.9784236,"Intersection 577"
-60.7780836,-32.9192998,"Intersection 578"
-60.7780828,-32.9197595,"Intersection 579"
-60.7780827,-32.9196049,"Intersection 580"
-60.77808,-32.9105818,"Intersection 581"
-60.7780798,-32.9191562,"Intersection 582"
-60.7780785,-32.9186536,"Intersection 583"
-60.7780729,-32.9190142,"Intersection 584"
-60.7780685,-32.978941,"Intersection 585"
-60.7780587,-32.9183743,"Intersection 586"
-60.7780531,-32.9178549,"Intersection 587"
-60.7780494,-32.9178148,"Intersection 588"
-60.7780355,-32.9190144,"Intersection 589"
-60.7780272,-32.995156,"Intersection 590"
-60.7780261,-32.9975716,"Intersection 591"
-60.7780206,-32.9127151,"Intersection 592"
-60.7780197,-32.9198326,"Intersection 593"
-60.7780188,-32.9199073,"Intersection 594"
-60.7780094,-32.9905239,"Intersection 595"
-60.7779858,-32.9183742,"Intersection 596"
-60.7779775,-32.9198816,"Intersection 597"
-60.7779756,-32.9186018,"Intersection 598"
-60.7779596,-32.918987,"Intersection 599"
-60.7779589,-32.9190171,"Intersection 600"
-60.7779479,-32.9179137,"Intersection 601"
-60.7779438,-32.9178955,"Intersection 602"
-60.7779433,-32.9178778,"Intersection 603"
-60.777937,-32.9297974,"Intersection 604"
-60.7779309,-32.9768148,"Intersection 605"
-60.7779303,-33.000092,"Intersection 606"
-60.7779175,-32.9779129,"Intersection 607"
-60.7779166,-32.9777328,"Intersection 608"
-60.7779148,-32.9773751,"Intersection 609"
-60.77789,-32.9788196,"Intersection 610"
-60.7778833,-32.9124047,"Intersection 611"
